Addr, RCPUs, Reads, WCPUs, Writes
0x0000000010000000, 0x0001, 665123, 0x0001, 24772
0xffff8f8000a01000, 0x0001, 88198, 0x0001, 44557
0xffff8f80000bd000, 0x000f, 36981, 0x000f, 80125
0xffff8f800003d000, 0x0009, 31631, 0x000f, 52113
0xffff8f80000a5000, 0x0001, 11189, 0x0000, 0
0xffff8f8000005000, 0x0004, 528, 0x0004, 4
0xffff8f8000802000, 0x000f, 397, 0x000f, 397
0xffff8f8000085000, 0x0001, 203, 0x0000, 0
0xffff8f8010008000, 0x0008, 198, 0x0008, 26
0xffff8f8010010000, 0x0008, 198, 0x0008, 26
0x0000000022000000, 0x0001, 63, 0x0001, 29
0x0000000020000000, 0x0001, 63, 0x0001, 29
0xffff8f8006000000, 0x0001, 61, 0x0003, 11
0xffff8f8002000000, 0x0001, 61, 0x0003, 11
0xffff8f80000c5000, 0x000f, 47, 0x000f, 57
0xffff8f8010000000, 0x0008, 39, 0x0008, 16
0x0000000030008000, 0x0001, 29, 0x0001, 14
0x0000000030010000, 0x0001, 29, 0x0001, 14
0xffff8f800009d000, 0x000b, 27, 0x000a, 67
0xffff8f80000b5000, 0x000b, 20, 0x0000, 0
0x0000000010008000, 0x0001, 19, 0x0001, 38
0x0000000030000000, 0x0001, 16, 0x0001, 10
0x0000000003001000, 0x0001, 16, 0x0001, 3540
0xffff8f800007d000, 0x000c, 13, 0x000c, 25
0xffff8f8000055000, 0x0008, 3, 0x0000, 0
0x0000000010002000, 0x0001, 3, 0x0000, 0
0x0000000010004000, 0x0001, 3, 0x0000, 0
0xffff8f800005d000, 0x0008, 3, 0x0000, 0
0x0000000010006000, 0x0001, 3, 0x0000, 0
0xffff8f8000065000, 0x0008, 3, 0x0000, 0
0xffff8f800006d000, 0x0008, 3, 0x0000, 0
0xffff8f8000075000, 0x0008, 3, 0x0000, 0
0x0000000010001000, 0x0001, 3, 0x0000, 0
0x0000000010003000, 0x0001, 3, 0x0000, 0
0x0000000010005000, 0x0001, 3, 0x0000, 0
0xffff8f8000045000, 0x0008, 3, 0x0000, 0
0x0000000010007000, 0x0001, 3, 0x0000, 0
0xffff8f800004d000, 0x0008, 3, 0x0000, 0
0x0000000020ac0000, 0x0001, 1, 0x0001, 2
0x0000000030030000, 0x0001, 1, 0x0000, 0
0xffff8f8010098000, 0x0008, 1, 0x0000, 0
0x00000000225c0000, 0x0001, 1, 0x0001, 2
0x0000000022ec0000, 0x0001, 1, 0x0001, 2
0x0000000020120000, 0x0001, 1, 0x0001, 2
0x0000000020a20000, 0x0001, 1, 0x0001, 2
0x0000000022520000, 0x0001, 1, 0x0001, 2
0x0000000022e20000, 0x0001, 1, 0x0001, 2
0x0000000020080000, 0x0001, 1, 0x0001, 2
0x0000000020980000, 0x0001, 1, 0x0001, 2
0x0000000022480000, 0x0001, 1, 0x0001, 2
