Device, Address, RCPUs, Reads,  WCPUs, Writes
riscv.aclint.swi, 0x0, 0, 0, f, 334071
anon8c55e8d0, 0x0, 1, 68486, 1, 19805
anon8876f090, 0xffff8f7ff00bd000, f, 26911, f, 44328
anon7ce45150, 0xffff8f7ff00bd000, f, 10057, f, 36859
riscv.sifive.plic, 0x0, 7, 15648, f, 8902
virtio-pci-notify-virtio-blk, 0xffff8f7c000a6000, 0, 0, f, 6516
virtio-pci-isr-virtio-blk, 0xffff8f7c000a0000, 1, 6468, 0, 0
anonb28f9270, 0x0, 1, 3065, 1, 3089
anon8c55c7a0, 0x0, 1, 16, 1, 3523
pcie-mmcfg-mmio, 0x0, 5, 567, 5, 106
virt.flash0, 0x0, 9, 251, b, 297
virt.flash1, 0x0, 9, 251, b, 297
anon88785130, 0xffff8f7feff05000, 1, 528, 1, 4
anon7ce562e0, 0xffff8f7ff0035000, 1, 48, f, 104
anon8d94a1f0, 0x0, 1, 48, 1, 48
virtio-pci-common-virtio-blk, 0xffff8f7c00099000, 6, 27, 6, 67
anon8c354260, 0x0, 1, 14, 1, 36
anon88781ca0, 0xffff8f7ff0035000, 6, 24, 6, 23
anon860a5570, 0xffff8f7ff00bd000, 1, 5, 1, 37
virtio-pci-common-virtio-rng, 0xffff8f7c0007d000, 5, 13, 5, 25
virtio-pci-device-virtio-blk, 0xffff8f7c000af000, 7, 20, 0, 0
virtio-pci-notify-virtio-rng, 0xffff8f7c0008a000, 0, 0, 1, 16
virtio-pci-isr-virtio-rng, 0xffff8f7c00084000, 1, 16, 0, 0
anon8876a7e0, 0xffff8f7ffffc4000, 2, 9, 0, 0
anonb290cda0, 0x0, 1, 5, 1, 2
anon7ce40ef0, 0xffff8f7ffffc4000, 1, 2, 1, 3
riscv.aclint.mtimer, 0x0, 0, 0, f, 4
anonb290a920, 0x0, 1, 3, 0, 0
anon8877af20, 0xffff8f7ff0050000, 4, 3, 0, 0
anonb2902c80, 0x0, 1, 3, 0, 0
anon887741a0, 0xffff8f7ff006b000, 4, 3, 0, 0
anonb28fb6f0, 0x0, 1, 3, 0, 0
anon8877f820, 0xffff8f7ff003e000, 4, 3, 0, 0
anonb2907580, 0x0, 1, 3, 0, 0
anon88778aa0, 0xffff8f7ff0059000, 4, 3, 0, 0
anon88771d20, 0xffff8f7ff0074000, 4, 3, 0, 0
anonb28ffff0, 0x0, 1, 3, 0, 0
anon8877d3a0, 0xffff8f7ff0047000, 4, 3, 0, 0
anonb2905100, 0x0, 1, 3, 0, 0
anonb28fdb70, 0x0, 1, 3, 0, 0
anon88776620, 0xffff8f7ff0062000, 4, 3, 0, 0
riscv.sifive.test, 0xffff8f7ffffcd000, 1, 1, 1, 1
