Addr, RCPUs, Reads, WCPUs, Writes
0x00007bf02cbfd000, 0x0001, 307591, 0x0001, 107544
0x00007bf02dead000, 0x0001, 5498, 0x0001, 81
0x00007bf02cbfc000, 0x0001, 2352, 0x0001, 2411
0x00007bf02e02a000, 0x0001, 2446, 0x0001, 617
0x00007bf02deaf000, 0x0001, 1457, 0x0001, 399
0x00007bf02c3f1000, 0x0001, 1126, 0x0001, 700
0x00007bf02c2e8000, 0x0001, 1677, 0x0000, 0
0x00007bf02cbfe000, 0x0001, 1315, 0x0000, 0
0x0000555555556000, 0x0001, 1105, 0x0000, 0
0x00007bf02de8d000, 0x0001, 937, 0x0000, 0
0x00007bf02deae000, 0x0001, 534, 0x0001, 204
0x00007bf02c3ef000, 0x0001, 305, 0x0001, 288
0x00007bf02c3ed000, 0x0001, 120, 0x0001, 414
0x00007bf02c2f0000, 0x0001, 452, 0x0000, 0
0x00007bf02c3ee000, 0x0000, 0, 0x0001, 395
0x00007bf02c3f2000, 0x0001, 199, 0x0001, 159
0x00007bf02c2ec000, 0x0001, 342, 0x0000, 0
0x00007bf02c2ef000, 0x0001, 342, 0x0000, 0
0x00007bf02c2ea000, 0x0001, 341, 0x0000, 0
0x00007bf02c2ee000, 0x0001, 341, 0x0000, 0
0x00007bf02c2ed000, 0x0001, 341, 0x0000, 0
0x00007bf02c2eb000, 0x0001, 341, 0x0000, 0
0x00007bf02e02b000, 0x0001, 87, 0x0001, 225
0x00007bf02c3f0000, 0x0001, 38, 0x0001, 264
0x00007bf02c2e7000, 0x0001, 297, 0x0000, 0
0x0000555555559000, 0x0001, 4, 0x0001, 290
0x00007bf02c2e9000, 0x0001, 288, 0x0000, 0
0x00007bf02de8e000, 0x0001, 248, 0x0000, 0
0x0000555555557000, 0x0001, 243, 0x0001, 4
0x00007bf02c2e5000, 0x0001, 222, 0x0000, 0
0x00007bf02e06a000, 0x0001, 222, 0x0000, 0
0x00007bf02c2e6000, 0x0001, 205, 0x0000, 0
0x00007bf02dea8000, 0x0001, 164, 0x0000, 0
0x00007bf02c2cf000, 0x0001, 159, 0x0000, 0
0x00007bf02c2e3000, 0x0001, 153, 0x0000, 0
0x00007bf02c2f1000, 0x0001, 151, 0x0000, 0
0x00007bf02dea9000, 0x0001, 150, 0x0000, 0
0x00007bf02c2e2000, 0x0001, 136, 0x0000, 0
0x00007bf02dea3000, 0x0001, 133, 0x0000, 0
0x00007bf02c2cb000, 0x0001, 127, 0x0000, 0
0x00007bf02deac000, 0x0000, 0, 0x0001, 121
0x00007bf02c2e4000, 0x0001, 121, 0x0000, 0
0x00007bf02c2e0000, 0x0001, 105, 0x0000, 0
0x00007bf02c2e1000, 0x0001, 103, 0x0000, 0
0x00007bf02c3d3000, 0x0001, 97, 0x0000, 0
0x00007bf02c2cd000, 0x0001, 74, 0x0000, 0
0x00007bf02c2cc000, 0x0001, 73, 0x0000, 0
0x00007bf02c2d1000, 0x0001, 69, 0x0000, 0
0x00007bf02c2d3000, 0x0001, 67, 0x0000, 0
0x00007bf02c2d8000, 0x0001, 66, 0x0000, 0
